Date,Open,High,Low,Close,Adj Close,Volume
2022-03-17,55800.000000,55800.000000,55800.000000,55800.000000,55339.605469,0
2022-03-18,58000.000000,58100.000000,56500.000000,57500.000000,57025.578125,1880064
2022-03-21,57500.000000,57500.000000,57500.000000,57500.000000,57025.578125,0
2022-03-22,57600.000000,58800.000000,57500.000000,58600.000000,58116.500000,954488
2022-03-23,59400.000000,61400.000000,59200.000000,61100.000000,60595.875000,1948372
2022-03-24,60100.000000,61500.000000,59800.000000,61400.000000,60893.398438,1651104
2022-03-25,61300.000000,61300.000000,60200.000000,60900.000000,60397.523438,1298634
2022-03-28,60000.000000,61500.000000,59500.000000,61200.000000,60695.050781,1188794
2022-03-29,61200.000000,61700.000000,60200.000000,60600.000000,60100.000000,1333984
2022-03-30,60900.000000,60900.000000,59800.000000,60000.000000,60000.000000,1177556
2022-03-31,60000.000000,61500.000000,60000.000000,61300.000000,61300.000000,1217755
2022-04-01,60400.000000,60900.000000,60100.000000,60800.000000,60800.000000,973327
2022-04-04,60600.000000,61300.000000,60500.000000,61100.000000,61100.000000,725696
2022-04-05,61000.000000,61400.000000,59100.000000,59500.000000,59500.000000,1247093
2022-04-06,59200.000000,60200.000000,58800.000000,59700.000000,59700.000000,1007216
2022-04-07,59000.000000,59500.000000,57800.000000,58200.000000,58200.000000,1289329
2022-04-08,58100.000000,58700.000000,57100.000000,58200.000000,58200.000000,965581
2022-04-11,58700.000000,59600.000000,58500.000000,59600.000000,59600.000000,975267
2022-04-12,59900.000000,60800.000000,59500.000000,59600.000000,59600.000000,1286302
2022-04-13,60100.000000,60100.000000,59200.000000,59700.000000,59700.000000,817833
2022-04-14,59100.000000,60300.000000,59000.000000,59800.000000,59800.000000,1028366
2022-04-15,59600.000000,60100.000000,59300.000000,59400.000000,59400.000000,583557
2022-04-18,58800.000000,59700.000000,58500.000000,59600.000000,59600.000000,338693
2022-04-19,59800.000000,60200.000000,59300.000000,59700.000000,59700.000000,783668
2022-04-20,59500.000000,60800.000000,59300.000000,60000.000000,60000.000000,1124028
2022-04-21,60400.000000,60400.000000,59500.000000,60300.000000,60300.000000,667395
2022-04-22,60500.000000,61900.000000,60000.000000,61900.000000,61900.000000,1412753
2022-04-25,60900.000000,61700.000000,59900.000000,60000.000000,60000.000000,1279835
2022-04-26,59800.000000,59900.000000,58700.000000,59500.000000,59500.000000,361770
